id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
FOXG_05865	1,83889913	3,130410417	0,547387842	0,174861366	-2,515716519	0,269502864	0,807214063
FOXG_19537	2,386286972	3,130410417	1,642163527	0,524584099	-0,930754018	0,533151884	1
FOXG_04035	2,695051668	3,130410417	2,25969292	0,721851968	-0,470225085	0,794465709	1
FOXG_09982	2,088967136	3,135542557	1,042391714	0,33244381	-1,588817579	0,567256268	1
FOXG_04633	1,568280501	3,136561002	0	0	#NAME?	0,133041398	0,554628432
FOXG_19754	1,568280501	3,136561002	0	0	#NAME?	0,133041398	0,554628432
FOXG_10098	1,722662849	3,136561002	0,308764696	0,09844052	-3,34460391	0,283154368	0,820944953
FOXG_11589	3,891687075	3,136561002	4,646813149	1,48149937	0,567058013	0,715496398	1
FOXG_17868	4,392470965	3,141693142	5,643248788	1,796244424	0,844983678	0,482744853	0,99893652
FOXG_16679	4,40978416	3,141693142	5,677875179	1,807265994	0,853808858	0,664480472	1
FOXG_15733	4,217117089	3,141693142	5,292541037	1,68461425	0,752418275	0,812998282	1
FOXG_15447	3,099363367	3,141693142	3,057033592	0,97305289	-0,03940987	1	1
FOXG_08903	90,96907109	3,146825281	178,7913169	56,81641048	5,828235783	6,96E-06	0,000253958
FOXG_07591	7,215453991	3,146825281	11,2840827	3,585862478	1,84232016	0,190493736	0,682360672
FOXG_01716	2,15265731	3,146825281	1,15848934	0,368145428	-1,441652311	0,559334414	1
FOXG_06803	3,189384182	3,146825281	3,231943083	1,027048786	0,038504712	1	1
FOXG_06154	5,142115422	3,151957421	7,132273424	2,262807669	1,178113965	0,455588766	0,983751309
FOXG_11913	3,846900329	3,156657239	4,537143419	1,437325333	0,523386648	0,761755242	1
FOXG_12264	425,9368531	3,158108006	848,7155983	268,7417899	8,070076871	4,14E-09	4,23E-07
FOXG_04731	8,763675378	3,158108006	14,36924275	4,549952922	2,185851618	0,067077274	0,362817478
FOXG_03297	6,497110178	3,158108006	9,836112351	3,114558569	1,639027702	0,268438414	0,806540541
FOXG_14800	4,05041503	3,158108006	4,942722054	1,565089619	0,64624527	0,649425142	1
FOXG_15780	4,298680019	3,158108006	5,439252033	1,722313494	0,784347764	0,659997269	1
FOXG_10674	67,03381545	3,159558772	130,9080721	41,43239027	5,372687148	5,24E-06	0,000201943
FOXG_03465	3,76089635	3,159558772	4,362233928	1,380646553	0,465344035	0,587518905	1
FOXG_19137	3,227607755	3,159558772	3,295656738	1,043074991	0,060842883	0,999717799	1
FOXG_04772	1,58089469	3,161789379	0	0	#NAME?	0,122347286	0,529549429
FOXG_19508	5,031659159	3,163240146	6,900078173	2,181332386	1,125209621	0,452717772	0,981673957
FOXG_13654	54,56496546	3,168372285	105,9615586	33,4435316	5,063655297	6,54E-05	0,001584071
FOXG_08095	1,796617303	3,168372285	0,424862322	0,134094823	-2,898674552	0,274279851	0,811060059
FOXG_19978	1,895516909	3,173504425	0,617529393	0,194589107	-2,361497143	0,429896055	0,961585074
FOXG_14510	1,589827505	3,17965501	0	0	#NAME?	0,131187733	0,551424095
FOXG_19136	5,986687823	3,17965501	8,793720637	2,76562099	1,467603458	0,351359035	0,899916618
FOXG_17409	3,717353061	3,17965501	4,255051111	1,338211567	0,420306219	0,877489618	1
FOXG_01348	17,71354327	3,183336383	32,24375016	10,12891705	3,340408029	0,010966144	0,098075473
FOXG_21843	4,810237411	3,184787149	6,435687672	2,020759118	1,014897358	0,446723177	0,976005922
FOXG_07444	3,272078771	3,184787149	3,359370393	1,054817869	0,076993916	0,947593022	1
FOXG_01212	2,235467075	3,189919289	1,28101486	0,401582217	-1,31623271	0,549563667	1
FOXG_18175	7,700009384	3,196069874	12,20394889	3,818423682	1,932977189	0,148477239	0,588756973
FOXG_12217	4,31950164	3,199751247	5,439252033	1,699898402	0,765448524	0,709822385	1
FOXG_08989	2,761578911	3,199751247	2,323406574	0,726121	-0,461718118	0,869142137	1
FOXG_13785	17,98604776	3,201202013	32,77089351	10,23705888	3,355729382	0,008052916	0,07727043
FOXG_04671	7,715431245	3,201202013	12,22966048	3,82033387	1,933698725	0,148585084	0,588903637
FOXG_18805	1,754983355	3,201202013	0,308764696	0,096452737	-3,37403401	0,279191177	0,81533098
FOXG_09714	2,665970758	3,201202013	2,130739503	0,665606074	-0,587259497	0,797178879	1
FOXG_19251	2,304937267	3,206334153	1,403540381	0,437739897	-1,191854214	0,5417939	1
FOXG_17873	2,825485246	3,211466293	2,4395042	0,759623168	-0,396644187	0,91256414	1
FOXG_07533	7,236140334	3,221298251	11,25098242	3,492685725	1,804336834	0,197929681	0,695077003
FOXG_11444	7,105216426	3,221298251	10,9891346	3,411399301	1,770363631	0,257689121	0,793661272
FOXG_22709	2,158762351	3,222749017	1,094775685	0,339702434	-1,557656541	0,398443094	0,939696519
FOXG_03964	2,560646635	3,222749017	1,898544253	0,589107077	-0,763398211	0,807369542	1
